Field_ID,Year,Crop,Previous_Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Organic_Matter,Rainfall,Avg_Temperature,NDVI,Irrigation,Fertilizer_Type,Yield,Recommended_Next_Crop,Sustainable_Practice
428,2018,Wheat,Legume,6.1,37,19,126,3.5,679,19.0,0.66,None,None,7.06,Legume,Reduced tillage
220,2022,Barley,Wheat,6.6,52,28,134,3.2,542,27.7,0.55,None,Organic,6.47,Legume,None
275,2020,Maize,Maize,7.4,40,18,125,3.1,583,28.2,0.7,None,Organic,8.92,Wheat,Cover crop
336,2022,Wheat,Rice,5.7,39,26,156,2.8,435,18.5,0.61,Drip,None,6.11,Legume,Compost
538,2019,Wheat,Rice,6.1,50,26,130,3.1,507,26.0,0.73,Sprinkler,Organic,8.34,Legume,Cover crop
412,2023,Maize,Barley,7.0,35,29,144,2.9,727,26.3,0.6,Drip,None,7.75,Wheat,Compost
218,2018,Soybean,Rice,6.0,36,25,133,3.5,602,28.6,0.71,None,Chemical,7.72,Maize,Reduced tillage
482,2022,Barley,Soybean,7.0,43,27,143,2.8,470,24.1,0.57,None,None,5.69,Legume,Compost
179,2023,Maize,Legume,6.3,32,27,144,3.4,639,24.3,0.79,None,Organic,9.86,Wheat,Cover crop
470,2018,Legume,Barley,7.0,54,25,127,2.9,480,23.4,0.79,Sprinkler,Chemical,9.2,Barley,Compost
491,2019,Barley,Wheat,7.2,39,21,129,3.1,482,24.5,0.74,Sprinkler,None,7.58,Legume,Compost
351,2018,Wheat,Soybean,7.3,56,24,135,2.6,690,29.4,0.57,Drip,None,7.01,Legume,Compost
601,2022,Maize,Maize,6.8,60,20,136,3.3,710,23.1,0.6,Sprinkler,Organic,9.64,Wheat,Cover crop
454,2019,Legume,Soybean,6.3,51,26,148,3.8,631,19.5,0.61,Drip,None,7.68,Barley,Reduced tillage
402,2019,Wheat,Wheat,6.9,31,22,124,3.9,569,18.9,0.61,Sprinkler,Chemical,6.75,Legume,Reduced tillage
377,2019,Legume,Barley,6.7,37,30,146,2.8,449,25.9,0.64,Drip,Chemical,6.67,Legume,Compost
128,2023,Legume,Legume,5.7,42,25,126,2.9,497,24.4,0.59,None,Chemical,6.24,Rice,Compost
228,2018,Rice,Barley,5.7,50,15,125,3.9,521,20.0,0.67,None,Chemical,8.88,Wheat,Cover crop
563,2018,Maize,Rice,5.5,42,23,149,2.9,756,29.5,0.8,Sprinkler,Organic,10.9,Wheat,Compost
468,2021,Maize,Maize,6.1,60,16,157,3.6,431,27.0,0.56,Sprinkler,Chemical,8.78,Wheat,Cover crop
358,2022,Maize,Wheat,7.4,32,20,124,3.4,745,28.3,0.65,Sprinkler,None,8.39,Wheat,Cover crop
397,2022,Wheat,Barley,5.7,51,25,136,2.8,766,21.8,0.62,None,Organic,7.4,Legume,Compost
431,2020,Rice,Soybean,7.4,59,17,120,3.2,688,30.0,0.57,None,Organic,8.07,Wheat,Cover crop
236,2019,Soybean,Wheat,7.3,41,24,130,3.2,678,26.4,0.7,Sprinkler,Organic,7.96,Wheat,Compost
